SubjectID,ObjectID,PresOrder,GazeBlock,TotalBlockDur,FixCount,MeanFixDur
tulip013,fishing reel,9,1,60000,118,430.406779661017
tulip013,fishing reel,9,2,36069.53344,77,383.116883116883
tulip014,bulb planter,1,1,14581.299968,34,371.5
tulip014,bulb planter,1,2,8058.088704,18,406.055555555556
tulip014,three hole punch,2,1,12183.066624,24,433.416666666667
tulip014,three hole punch,2,2,20624.877824,48,329.895833333333
tulip014,blood pressure cuff,3,1,50458.9888,113,390.141592920354
tulip014,blood pressure cuff,3,2,21008.5888,37,501.540540540541
tulip014,french press,4,1,48348.533504,100,428.84
tulip014,french press,4,2,16212.111104,27,521.148148148148
tulip014,pocket radio,5,1,60000,113,488.716814159292
tulip014,pocket radio,5,2,21392.300032,39,478.282051282051
tulip014,shoe horn,6,1,34726.522112,68,451.397058823529
tulip014,shoe horn,6,2,15924.322304,31,403.935483870968
tulip014,floppy disk,7,1,60000,76,739.763157894737
tulip014,floppy disk,7,2,21008.577792,35,529.514285714286
tulip014,fishing reel,8,1,50171.2,104,433.355769230769
tulip014,fishing reel,8,2,32520.144384,62,478.161290322581
tulip015,crank flashlight,1,1,14485.366784,44,227.545454545455
tulip015,crank flashlight,1,2,11607.489024,32,238.09375
tulip015,french press,2,1,9592.966912,26,247.076923076923
tulip015,french press,2,2,10072.611072,27,266.148148148148
tulip015,rolodex,3,1,13813.866752,39,235.205128205128
tulip015,rolodex,3,2,14005.733376,34,300.088235294118
tulip015,fishing reel,4,1,11127.844608,27,308.481481481481
tulip015,fishing reel,4,2,9305.177856,22,310.454545454545
tulip015,three hole punch,5,1,12950.500096,35,259.771428571429
tulip015,three hole punch,5,2,13909.788928,30,338.133333333333
tulip015,bulb planter,6,1,13046.43328,36,240.583333333333
tulip015,blood pressure cuff,7,1,6043.566848,14,330.785714285714
tulip015,hand mixer,8,1,8633.666816,19,351.473684210526
tulip015,hand mixer,8,2,9497.022208,25,168.04
tulip015,floppy disk,9,1,8825.53344,17,310.705882352941
